evento_id,tipo,subtipo,calle,lat,lon,timestamp,fecha_evento,hora_evento,fuente,procesado
jam_1744579173000_-33.45805_-70.6023,JAM,,José Domingo Cañas,-33.45805,-70.6023,1744579173000,2025-04-13T21:19:33Z,21:19:33,scraper,False
jam_1744576949000_-33.72284_-71.21219,JAM,,Ruta G-60,-33.72284,-71.21219,1744576949000,2025-04-13T20:42:29Z,20:42:29,scraper,False
jam_1744577388000_-33.6065_-70.682967,JAM,JAM_STAND_STILL_TRAFFIC,Av. Padre Hurtado,-33.6065,-70.682967,1744577388000,2025-04-13T20:49:48Z,20:49:48,scraper,False
jam_1744577591000_-33.462615_-70.5552,JAM,JAM_STAND_STILL_TRAFFIC,Av. José Arrieta,-33.462615,-70.5552,1744577591000,2025-04-13T20:53:11Z,20:53:11,scraper,False
jam_1744577833000_-33.7934_-71.294066,JAM,JAM_HEAVY_TRAFFIC,Ruta G-60,-33.7934,-71.294066,1744577833000,2025-04-13T20:57:13Z,20:57:13,scraper,False
jam_1744578022000_-33.58033_-70.58984,JAM,JAM_STAND_STILL_TRAFFIC,Av. Gabriela Poniente,-33.58033,-70.58984,1744578022000,2025-04-13T21:00:22Z,21:00:22,scraper,False
jam_1744578527000_-33.52977_-70.59522,JAM,,Av. Vicuña Mackenna,-33.52977,-70.59522,1744578527000,2025-04-13T21:08:47Z,21:08:47,scraper,False
jam_1744579104000_-33.82867_-71.34339,JAM,,Ruta G-60,-33.82867,-71.34339,1744579104000,2025-04-13T21:18:24Z,21:18:24,scraper,False
jam_1744579363000_-33.5278_-70.603193,JAM,JAM_STAND_STILL_TRAFFIC,Autopista Vespucio Sur,-33.5278,-70.603193,1744579363000,2025-04-13T21:22:43Z,21:22:43,scraper,False
jam_1744579494000_-33.4506_-70.629578,JAM,JAM_STAND_STILL_TRAFFIC,General Bustamante,-33.4506,-70.629578,1744579494000,2025-04-13T21:24:54Z,21:24:54,scraper,False
jam_1744579537000_-33.395649_-70.5651,JAM,JAM_STAND_STILL_TRAFFIC,Autopista Kennedy,-33.395649,-70.5651,1744579537000,2025-04-13T21:25:37Z,21:25:37,scraper,False
jam_1744580178000_-33.429454_-70.6001,JAM,JAM_STAND_STILL_TRAFFIC,Av. Eliodoro Yáñez,-33.429454,-70.6001,1744580178000,2025-04-13T21:36:18Z,21:36:18,scraper,False
jam_1744582508000_-33.41666_-70.60654,JAM,,Nueva Tobalaba,-33.41666,-70.60654,1744582508000,2025-04-13T22:15:08Z,22:15:08,scraper,False
jam_1744583274000_-33.441243_-70.5729,JAM,JAM_STAND_STILL_TRAFFIC,Av. Ossa,-33.441243,-70.5729,1744583274000,2025-04-13T22:27:54Z,22:27:54,scraper,False
jam_1744583893000_-33.419818_-70.5645,JAM,,Av. Manquehue Sur,-33.419818,-70.5645,1744583893000,2025-04-13T22:38:13Z,22:38:13,scraper,False
jam_1744584054000_-33.447622_-70.8648,JAM,JAM_STAND_STILL_TRAFFIC,Ruta 68,-33.447622,-70.8648,1744584054000,2025-04-13T22:40:54Z,22:40:54,scraper,False
jam_1744584604000_-33.40762_-70.58706,JAM,JAM_HEAVY_TRAFFIC,Av. Américo Vespucio Norte,-33.40762,-70.58706,1744584604000,2025-04-13T22:50:04Z,22:50:04,scraper,False
jam_1744584687000_-33.4623_-70.573771,JAM,JAM_HEAVY_TRAFFIC,Av. Américo Vespucio,-33.4623,-70.573771,1744584687000,2025-04-13T22:51:27Z,22:51:27,scraper,False
jam_1744559561000_-33.415464_-70.61505,JAM,JAM_HEAVY_TRAFFIC,Av. El Cerro,-33.415464,-70.61505,1744559561000,2025-04-13T15:52:41Z,15:52:41,scraper,False
jam_1744561018000_-34.16836_-70.719508,JAM,,Av. Libertador Bernardo O'Higgins,-34.16836,-70.719508,1744561018000,2025-04-13T16:16:58Z,16:16:58,scraper,False
jam_1744561022000_-33.822809_-70.70672,JAM,,Ruta 79,-33.822809,-70.70672,1744561022000,2025-04-13T16:17:02Z,16:17:02,scraper,False
jam_1744561169000_-33.48435_-70.736466,JAM,JAM_HEAVY_TRAFFIC,Ruta 78,-33.48435,-70.736466,1744561169000,2025-04-13T16:19:29Z,16:19:29,scraper,False
jam_1744561512000_-33.570844_-70.81909,JAM,,Av. San Ignacio,-33.570844,-70.81909,1744561512000,2025-04-13T16:25:12Z,16:25:12,scraper,False
jam_1744561566000_-33.451193_-70.61134,JAM,JAM_STAND_STILL_TRAFFIC,Av. Simón Bolívar,-33.451193,-70.61134,1744561566000,2025-04-13T16:26:06Z,16:26:06,scraper,False
jam_1744576299000_-33.372968_-70.67112,JAM,,Av. Pedro Fontova,-33.372968,-70.67112,1744576299000,2025-04-13T20:31:39Z,20:31:39,scraper,False
jam_1744576921000_-33.43687_-70.721586,JAM,JAM_HEAVY_TRAFFIC,Av. Neptuno,-33.43687,-70.721586,1744576921000,2025-04-13T20:42:01Z,20:42:01,scraper,False
jam_1744577213000_-33.47392_-70.739348,JAM,JAM_STAND_STILL_TRAFFIC,Av. Pajaritos,-33.47392,-70.739348,1744577213000,2025-04-13T20:46:53Z,20:46:53,scraper,False
jam_1744577227000_-33.54025_-70.590606,JAM,JAM_HEAVY_TRAFFIC,Av. Vicuña Mackenna,-33.54025,-70.590606,1744577227000,2025-04-13T20:47:07Z,20:47:07,scraper,False
jam_1744577634000_-33.46153_-70.573512,JAM,,Av. Américo Vespucio,-33.46153,-70.573512,1744577634000,2025-04-13T20:53:54Z,20:53:54,scraper,False
jam_1744577721000_-33.73573_-70.704406,JAM,JAM_STAND_STILL_TRAFFIC,Ruta 79,-33.73573,-70.704406,1744577721000,2025-04-13T20:55:21Z,20:55:21,scraper,False
jam_1744577780000_-33.735854_-70.70478,JAM,JAM_STAND_STILL_TRAFFIC,Salida >Buin - Alto Jahuel,-33.735854,-70.70478,1744577780000,2025-04-13T20:56:20Z,20:56:20,scraper,False
jam_1744577924000_-33.49214_-70.750484,JAM,JAM_STAND_STILL_TRAFFIC,Salida a Américo Vespucio Sur > Cerrillos,-33.49214,-70.750484,1744577924000,2025-04-13T20:58:44Z,20:58:44,scraper,False
jam_1744577932000_-33.73557_-70.710292,JAM,JAM_HEAVY_TRAFFIC,Camino Buin - Alto Jahuel,-33.73557,-70.710292,1744577932000,2025-04-13T20:58:52Z,20:58:52,scraper,False
jam_1744578290000_-33.54016_-70.611425,JAM,JAM_STAND_STILL_TRAFFIC,Salida 37 > Avenida Punta Arenas,-33.54016,-70.611425,1744578290000,2025-04-13T21:04:50Z,21:04:50,scraper,False
jam_1744578377000_-33.405437_-70.58043,JAM,JAM_MODERATE_TRAFFIC,Av. Alonso de Córdova,-33.405437,-70.58043,1744578377000,2025-04-13T21:06:17Z,21:06:17,scraper,False
jam_1744578551000_-33.732993_-70.70442,JAM,JAM_STAND_STILL_TRAFFIC,Ruta 79,-33.732993,-70.70442,1744578551000,2025-04-13T21:09:11Z,21:09:11,scraper,False
jam_1744578561000_-33.45752_-70.629316,JAM,JAM_STAND_STILL_TRAFFIC,Av. Vicuña Mackenna,-33.45752,-70.629316,1744578561000,2025-04-13T21:09:21Z,21:09:21,scraper,False
jam_1744578637000_-33.323261_-71.39265,JAM,JAM_STAND_STILL_TRAFFIC,Ruta 68,-33.323261,-71.39265,1744578637000,2025-04-13T21:10:37Z,21:10:37,scraper,False
jam_1744578991000_-33.45422_-70.739826,JAM,,Av. Claudio Arrau,-33.45422,-70.739826,1744578991000,2025-04-13T21:16:31Z,21:16:31,scraper,False
jam_1744579036000_-33.447823_-70.57173,JAM,,Av. Ossa,-33.447823,-70.57173,1744579036000,2025-04-13T21:17:16Z,21:17:16,scraper,False
jam_1744579409000_-33.457748_-70.96732,JAM,JAM_HEAVY_TRAFFIC,Ruta 68,-33.457748,-70.96732,1744579409000,2025-04-13T21:23:29Z,21:23:29,scraper,False
jam_1744579619000_-33.396577_-71.23405,JAM,,Ruta 68,-33.396577,-71.23405,1744579619000,2025-04-13T21:26:59Z,21:26:59,scraper,False
jam_1744579825000_-33.438239_-70.81815,JAM,JAM_HEAVY_TRAFFIC,Ruta 68,-33.438239,-70.81815,1744579825000,2025-04-13T21:30:25Z,21:30:25,scraper,False
jam_1744579837000_-33.408659_-70.58746,JAM,JAM_STAND_STILL_TRAFFIC,Av. Américo Vespucio Norte,-33.408659,-70.58746,1744579837000,2025-04-13T21:30:37Z,21:30:37,scraper,False
jam_1744579866000_-33.48163_-70.744653,JAM,JAM_HEAVY_TRAFFIC,Av. Pajaritos,-33.48163,-70.744653,1744579866000,2025-04-13T21:31:06Z,21:31:06,scraper,False
